Project,Client,Description,Duration
SOS2122-20,,#10 Issue F04,03:03:13
SOS2122-20,,#11 F04-issue,04:06:35
SOS2122-20,,#3 toggl,00:11:31
SOS2122-20,,#4 Prueba feedback F02,00:17:34
SOS2122-20,,#5 Issue para F02,00:05:07
SOS2122-20,,#6 f03_trabajo,04:17:50
SOS2122-20,,#7 F0_3 Feedback,03:02:10
SOS2122-20,,#9 Issue-FeedbackF04,03:09:00
SOS2122-20,,D03,31:33:04
SOS2122-20,,D03-continuacion,09:31:00
SOS2122-20,,Entregable D01,06:29:00
SOS2122-20,,Entregable D02,06:19:00
SOS2122-20,,Feedback 07,03:34:00
SOS2122-20,,Feedback 09,02:20:00
SOS2122-20,,Issue-FeedbackF03,01:35:00
SOS2122-20,,Issue-FeedbackF05,04:48:00
SOS2122-20,,Issue-FeedbackF06,06:12:05
SOS2122-20,,Issue-FeedbackF07,03:07:00
SOS2122-20,,Issue-FeedbackF08,04:00:00
SOS2122-20,,Issue-FeedbackF09,02:52:03
SOS2122-20,,Tarea F05,03:11:00
SOS2122-20,,,00:00:01
